Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Window Size,SW Step Size,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon
Process Graph Metrics,without_noise,log_60_1687182015,0.0001,100.0,500.0,,[812],[694],1.0,118.0,00:00:03,3.7473166938871145,0.0017634431500645246,,,,,,,
Martjushev ADWIN J,without_noise,log_26_1687181951,0.4,400.0,400.0,10.0,"[609, 1420]","[1394, 1683]",0.5,26.0,00:00:10,10.495119640603662,0.003869881873378931,,,,,,,
Martjushev ADWIN J,without_noise,log_81_1687182043,0.4,200.0,500.0,20.0,[],"[751, 1119]",,,00:00:02,2.4573315186426044,0.001336959476954627,,,,,,,
Martjushev J,without_noise,log_86_1687182053,0.55,,,,[],[931],,,00:01:57,117.9702321626246,0.06870718238941444,300.0,,,,,,
Martjushev ADWIN J,without_noise,log_99_1687182077,0.4,400.0,400.0,20.0,[],"[555, 837, 2088, 2767]",,,00:00:21,21.858477687463164,0.006421409426399284,,,,,,,
LCDD,without_noise,log_79_1687182041,,,,,"[125, 239, 343, 451, 556, 698, 808, 925, 1031, 1153, 1259, 1374, 1480, 1581, 1682, 1826]",[532],0.11764705882352941,24.0,00:00:00,0.06655555218458176,3.632944988241362e-05,,,100.0,100.0,5.0,,
Earth Mover's Distance,without_noise,log_44_1687181991,,,,,"[654, 1326]",[1026],,,00:00:00,0.37674439139664173,0.00023084827904205988,100.0,2.0,,,,,
Process Graph Metrics,without_noise,log_19_1687181938,0.005,400.0,400.0,,[863],[771],1.0,92.0,00:00:01,1.3061250392347574,0.0008765939860635956,,,,,,,
LCDD,without_noise,log_65_1687182020,,,,,"[200, 429, 630, 908, 1274, 1495, 1731, 2063, 2267, 2522, 2722, 3050]","[909, 1496, 2099, 2410]",0.5,37.5,00:00:00,0.0842586737126112,2.7544515760905917e-05,,,200.0,200.0,10.0,,
LCDD,without_noise,log_48_1687181998,,,,,"[205, 405, 652, 1005, 1274, 1642, 1842, 2077, 2361, 2656, 2859, 3139, 3345, 3567, 3775, 4040, 4262]","[1144, 2359, 2666, 3482, 3756]",0.45454545454545453,49.2,00:00:00,0.21165206283330917,4.9313155366567844e-05,,,200.0,200.0,10.0,,
Earth Mover's Distance,without_noise,log_6_1687181923,,,,,"[898, 1528, 1994, 3122]","[923, 1989, 3141]",0.8571428571428571,16.333333333333332,00:03:41,221.99591514933854,0.05044215295372382,200.0,2.0,,,,,
Process Graph Metrics,without_noise,log_81_1687182043,0.005,200.0,500.0,,[876],"[751, 1119]",0.6666666666666666,125.0,00:00:07,7.560212491080165,0.004113282095255803,,,,,,,
Process Graph Metrics,without_noise,log_94_1687182067,0.005,400.0,500.0,,"[744, 2194, 3272]","[517, 868, 1998, 2959, 3215]",0.7499999999999999,125.66666666666667,00:00:07,7.112512317486107,0.0016707804363368822,,,,,,,
Process Graph Metrics,without_noise,log_55_1687182006,0.1,400.0,400.0,,"[1308, 2896]","[1185, 1392]",0.5,84.0,00:00:02,2.4188460195437074,0.0008789411408225681,,,,,,,
Martjushev J,without_noise,log_89_1687182057,0.55,,,,"[191, 472, 701, 965, 1140, 1395, 1653, 1934, 2072, 2491, 2737, 2912, 3112]","[1144, 1943, 2486]",0.375,6.0,00:00:49,49.266314000822604,0.015271641041792499,100.0,,,,,,
Process Graph Metrics,without_noise,log_39_1687181976,0.1,200.0,400.0,,"[940, 2265, 4032]","[706, 972, 2184, 3059, 3368]",0.5,56.5,00:01:02,62.53596781473607,0.014907262887898943,,,,,,,
Process Graph Metrics,without_noise,log_1_1687181916,0.0001,300.0,500.0,,"[1450, 2532, 3072, 3715]","[1292, 2437, 3613]",0.8571428571428571,118.33333333333333,00:00:23,23.982663209550083,0.005057499622427263,,,,,,,
Martjushev ADWIN J,without_noise,log_81_1687182043,0.4,100.0,400.0,10.0,[],"[751, 1119]",,,00:00:03,3.210134379565716,0.001746536659176124,,,,,,,
Martjushev ADWIN J,without_noise,log_9_1687181928,0.4,100.0,500.0,50.0,"[1133, 1912, 2844, 2939]","[1135, 1916, 2696, 2989]",1.0,51.0,00:00:11,11.894626282155514,0.002651499394149691,,,,,,,
LCDD,without_noise,log_27_1687181952,,,,,[605],"[605, 944, 1861, 2203, 3080, 3444]",0.2857142857142857,0.0,00:00:00,0.1861900333315134,4.4607099504435414e-05,,,300.0,300.0,150.0,,
Process Graph Metrics,without_noise,log_23_1687181942,0.0001,200.0,500.0,,"[1040, 2825, 4137, 4449]","[859, 1255, 2629, 4001, 4377]",0.888888888888889,146.25,00:00:14,14.0047748060897,0.0025256582157059874,,,,,,,
Process Graph Metrics,without_noise,log_32_1687181966,0.0001,400.0,500.0,,[],"[1402, 1725]",,,00:00:02,2.080934870056808,0.0006881398379817487,,,,,,,
Process Graph Metrics,without_noise,log_10_1687181929,0.0001,400.0,400.0,,"[1340, 1880]","[1446, 1821]",1.0,82.5,00:00:04,4.832710115239024,0.0018753240648967885,,,,,,,
Process Graph Metrics,without_noise,log_22_1687181941,0.05,300.0,400.0,,"[1340, 3658]","[1159, 1512, 2578, 3506, 3838]",0.5714285714285715,162.0,00:00:03,3.140044658444822,0.0006693763927616333,,,,,,,
LCDD,without_noise,log_59_1687182010,,,,,"[329, 658, 958, 1258, 2050, 2403, 2715, 3035, 3335]","[788, 1187, 2051, 3036, 3241]",0.7142857142857143,59.4,00:00:00,0.2839215984568,7.347867454886128e-05,,,300.0,300.0,20.0,,
LCDD,without_noise,log_10_1687181929,,,,,"[100, 204, 305, 408, 508, 616, 727, 834, 940, 1064, 1166, 1266, 1373, 1479, 1579, 1679, 1780, 1886, 1987, 2088, 2222, 2327, 2437, 2542]","[1446, 1821]",0.15384615384615385,37.0,00:00:00,0.13016911782324314,5.051188118868574e-05,,,100.0,100.0,200.0,,
LCDD,without_noise,log_6_1687181923,,,,,"[923, 1992, 3140]","[923, 1989, 3141]",1.0,1.3333333333333333,00:00:00,0.2032087640836835,4.617331608354544e-05,,,200.0,200.0,150.0,,
Zheng DBSCAN,without_noise,log_97_1687182074,,,,,"[1127.3333333333333, 2349.222222222222, 3482.5, 3613.6666666666665, 3749.5]","[1151, 2334, 3469, 3787]",0.888888888888889,22.47222222222223,00:00:01,1.2777716349810362,0.0002563232968868678,,,,,,600.0,60.0
Zheng DBSCAN,without_noise,log_97_1687182074,,,,,"[1127.3333333333333, 2349.222222222222, 3644.8888888888887]","[1151, 2334, 3469, 3787]",0.8571428571428571,60.33333333333341,00:00:01,1.2777716349810362,0.0002563232968868678,,,,,,600.0,120.0
Zheng DBSCAN,without_noise,log_97_1687182074,,,,,"[1127.3333333333333, 2349.222222222222, 3644.8888888888887]","[1151, 2334, 3469, 3787]",0.8571428571428571,60.33333333333341,00:00:01,1.2777716349810362,0.0002563232968868678,,,,,,600.0,180.0
Zheng DBSCAN,without_noise,log_97_1687182074,,,,,"[1127.3333333333333, 2349.222222222222, 3644.8888888888887]","[1151, 2334, 3469, 3787]",0.8571428571428571,60.33333333333341,00:00:01,1.2777716349810362,0.0002563232968868678,,,,,,600.0,240.0
Zheng DBSCAN,without_noise,log_97_1687182074,,,,,"[1127.3333333333333, 2349.222222222222, 3644.8888888888887]","[1151, 2334, 3469, 3787]",0.8571428571428571,60.33333333333341,00:00:01,1.2777716349810362,0.0002563232968868678,,,,,,600.0,300.0
Martjushev ADWIN J,without_noise,log_6_1687181923,0.4,100.0,500.0,50.0,[],"[923, 1989, 3141]",,,00:00:32,32.84654730372131,0.0074634281535381295,,,,,,,
LCDD,without_noise,log_16_1687181934,,,,,"[1230, 1794, 2775]","[1218, 1793, 2771]",1.0,5.666666666666667,00:00:00,0.06797418184578419,1.684196775168092e-05,,,200.0,200.0,150.0,,
LCDD,without_noise,log_15_1687181933,,,,,[956],"[957, 1345]",0.6666666666666666,1.0,00:00:00,0.05680047534406185,2.1605353877543497e-05,,,300.0,300.0,5.0,,
LCDD,without_noise,log_36_1687181970,,,,,"[305, 618, 918, 1309, 1614, 1924, 2349, 2665, 2981, 3296]","[754, 1601, 2593]",0.4615384615384615,73.66666666666667,00:00:00,0.15622658748179674,4.241829689975475e-05,,,300.0,300.0,10.0,,
Maaradji Runs,without_noise,log_51_1687182003,,,,,[888],[882],1.0,6.0,00:00:55,55.113729319535196,0.023244930122115225,300.0,2.0,,,,,
LCDD,without_noise,log_85_1687182048,,,,,"[386, 863, 1180, 1541, 1841, 2215]","[1308, 1543]",0.5,65.0,00:00:00,0.22858988866209984,8.839516189563025e-05,,,300.0,300.0,10.0,,
Martjushev ADWIN J,without_noise,log_33_1687181967,0.4,200.0,500.0,20.0,[],[987],,,00:00:03,3.2510119369253516,0.002126234098708536,,,,,,,
LCDD,without_noise,log_77_1687182038,,,,,"[559, 1783, 3136]","[560, 1784, 3134]",1.0,1.3333333333333333,00:00:00,0.17164551932364702,3.791595302046543e-05,,,300.0,300.0,5.0,,
Process Graph Metrics,without_noise,log_57_1687182008,0.1,300.0,500.0,,"[1375, 2653]","[1216, 1576, 2324, 2698, 4174, 4390]",0.5,102.0,00:00:06,6.182935995049775,0.0010920056508388863,,,,,,,
Maaradji Runs,without_noise,log_26_1687181951,,,,,[1386],"[1394, 1683]",0.6666666666666666,8.0,00:00:12,12.22378423716873,0.0045072950727023334,150.0,2.0,,,,,
Martjushev ADWIN J,without_noise,log_42_1687181985,0.4,200.0,400.0,50.0,"[1636, 1800]","[1494, 1841]",1.0,91.5,00:00:08,8.539237865246832,0.003327840165723629,,,,,,,
Martjushev J,without_noise,log_30_1687181956,0.55,,,,[1867],"[949, 1861, 2912]",0.5,6.0,00:03:54,234.7045975793153,0.05835519581783076,200.0,,,,,,
LCDD,without_noise,log_94_1687182067,,,,,[],"[517, 868, 1998, 2959, 3215]",,,00:00:00,0.11204762011766434,2.6320794014015584e-05,,,100.0,100.0,150.0,,
Martjushev J,without_noise,log_22_1687181941,0.55,,,,"[1138, 1350, 2575, 3474, 3686]","[1159, 1512, 2578, 3506, 3838]",1.0,74.0,00:01:01,61.41119476407766,0.013091280060558019,100.0,,,,,,
Process Graph Metrics,without_noise,log_47_1687181994,0.1,300.0,400.0,,"[587, 1229, 2400]","[1076, 1388]",0.4,153.0,00:00:12,12.346160620450974,0.004924675157738721,,,,,,,
Martjushev ADWIN J,without_noise,log_1_1687181916,0.4,300.0,500.0,50.0,"[949, 2425, 3501]","[1292, 2437, 3613]",0.6666666666666666,62.0,00:01:22,82.91155905369669,0.017484512664212713,,,,,,,
LCDD,without_noise,log_6_1687181923,,,,,"[923, 1992, 3140]","[923, 1989, 3141]",1.0,1.3333333333333333,00:00:00,0.20650079008191824,4.692133380638906e-05,,,200.0,200.0,100.0,,
Martjushev ADWIN J,without_noise,log_75_1687182036,0.4,300.0,500.0,20.0,[],"[1099, 1445]",,,00:00:26,26.733521624468267,0.011498288870739039,,,,,,,
Process Graph Metrics,without_noise,log_54_1687182005,0.1,300.0,400.0,,"[1340, 4062]","[1171, 1523, 2987, 3886, 4123]",0.5714285714285715,115.0,00:00:02,2.7780473735183477,0.0005761193225877951,,,,,,,
Martjushev ADWIN J,without_noise,log_3_1687181920,0.4,200.0,400.0,10.0,[],"[1041, 1298]",,,00:00:50,50.10416056588292,0.0220917815546221,,,,,,,
Process Graph Metrics,without_noise,log_70_1687182031,0.005,100.0,500.0,,"[715, 1403]",[608],0.6666666666666666,107.0,00:00:08,8.565627095289528,0.005822995985920822,,,,,,,
LCDD,without_noise,log_22_1687181941,,,,,"[1158, 3506]","[1159, 1512, 2578, 3506, 3838]",0.5714285714285715,0.5,00:00:00,0.11341302189975977,2.4176726049831544e-05,,,300.0,300.0,10.0,,
LCDD,without_noise,log_69_1687182027,,,,,[1353],"[1354, 1741, 2389, 2676, 3199]",0.33333333333333337,1.0,00:00:00,0.22656960040330887,5.363863645911668e-05,,,100.0,100.0,10.0,,
Martjushev ADWIN J,without_noise,log_57_1687182008,0.4,200.0,500.0,50.0,"[1293, 1437, 2413, 2552, 4246, 4404]","[1216, 1576, 2324, 2698, 4174, 4390]",1.0,89.5,00:00:11,11.358682436868548,0.0020061254745440743,,,,,,,
Bose J,without_noise,log_23_1687181942,,,,,[2642],"[859, 1255, 2629, 4001, 4377]",0.33333333333333337,13.0,00:05:05,305.9983287230134,0.05518454981479051,100.0,2.0,,,,,
Bose WC,without_noise,log_23_1687181942,,,,,[2638],"[859, 1255, 2629, 4001, 4377]",0.33333333333333337,9.0,00:05:33,333.1355741042644,0.06007855258868609,100.0,2.0,,,,,
Maaradji Runs,without_noise,log_75_1687182036,,,,,[1144],"[1099, 1445]",0.6666666666666666,45.0,00:00:02,2.959383604116738,0.0012728531630609625,300.0,2.0,,,,,
LCDD,without_noise,log_42_1687181985,,,,,"[282, 516, 716, 1017, 1355, 1601, 1801, 2002, 2202]","[1494, 1841]",0.3636363636363636,73.5,00:00:00,0.06083723343908787,2.3708976398709224e-05,,,200.0,200.0,5.0,,
Martjushev ADWIN J,without_noise,log_95_1687182068,0.4,300.0,500.0,20.0,[],"[561, 936, 2338, 2712, 4212]",,,00:01:51,111.74453884083778,0.019809349200644883,,,,,,,
Maaradji Runs,without_noise,log_41_1687181983,,,,,"[604, 2386, 3238]","[601, 890, 2386, 2718, 3227, 3580]",0.6666666666666666,4.666666666666667,00:00:02,2.359408370219171,0.0004927753488344134,100.0,2.0,,,,,
Martjushev ADWIN J,without_noise,log_28_1687181955,0.4,100.0,400.0,10.0,[980],[983],1.0,3.0,00:00:05,5.922822401858866,0.0025954524109810984,,,,,,,
LCDD,without_noise,log_4_1687181921,,,,,"[1312, 1612]","[1313, 1543]",1.0,35.0,00:00:00,0.05971034988760948,2.266047434064876e-05,,,300.0,300.0,200.0,,
LCDD,without_noise,log_96_1687182073,,,,,[804],"[805, 1076, 1645, 1910, 2579, 2949]",0.2857142857142857,1.0,00:00:00,0.28087348211556673,6.812357072897567e-05,,,100.0,100.0,50.0,,
Bose J,without_noise,log_19_1687181938,,,,,[770],[771],1.0,1.0,00:01:40,100.03791702538729,0.0671395416277767,300.0,2.0,,,,,
Bose WC,without_noise,log_19_1687181938,,,,,[],[771],,,00:01:46,106.31282005924731,0.07135088594580356,300.0,2.0,,,,,
Maaradji Runs,without_noise,log_26_1687181951,,,,,[1366],"[1394, 1683]",0.6666666666666666,28.0,00:00:09,9.660075694322586,0.0035619748135407767,200.0,2.0,,,,,
Process Graph Metrics,without_noise,log_34_1687181968,0.1,200.0,400.0,,"[519, 1233, 1752]","[1087, 1302]",0.4,69.0,00:00:04,4.968748521991074,0.0018679505721770956,,,,,,,
Martjushev ADWIN J,without_noise,log_1_1687181916,0.4,300.0,400.0,50.0,"[1199, 2481, 3501]","[1292, 2437, 3613]",1.0,83.0,00:01:12,72.25358190014958,0.015236942619179582,,,,,,,
Process Graph Metrics,without_noise,log_43_1687181986,0.1,400.0,500.0,,"[877, 1252, 2530, 3092]","[979, 1204, 2415, 2632, 3669]",0.6666666666666665,84.0,00:00:12,12.332022128626704,0.002871919452404915,,,,,,,
Maaradji Runs,without_noise,log_1_1687181916,,,,,"[1284, 2426, 3594]","[1292, 2437, 3613]",1.0,12.666666666666666,00:04:54,294.62724773958325,0.06213143140860043,100.0,2.0,,,,,
Process Graph Metrics,without_noise,log_49_1687181999,0.1,200.0,400.0,,[712],"[605, 889]",0.6666666666666666,107.0,00:00:00,0.7945607900619507,0.0004318265163380167,,,,,,,
Martjushev ADWIN J,without_noise,log_66_1687182022,0.4,100.0,500.0,20.0,[],"[846, 1221]",,,00:00:16,16.21696348488331,0.00937396733230249,,,,,,,
Maaradji Runs,without_noise,log_97_1687182074,,,,,"[1144, 2338, 3562]","[1151, 2334, 3469, 3787]",0.8571428571428571,34.666666666666664,00:00:34,34.125776208005846,0.006845692318556839,200.0,2.0,,,,,
LCDD,without_noise,log_24_1687181949,,,,,"[993, 1293]","[994, 1238]",1.0,28.0,00:00:00,0.057732890360057354,2.3995382527039632e-05,,,300.0,300.0,5.0,,
Martjushev ADWIN J,without_noise,log_15_1687181933,0.4,300.0,400.0,10.0,"[1011, 1247]","[957, 1345]",1.0,76.0,00:00:03,3.860069600865245,0.0014682653483701958,,,,,,,
Process Graph Metrics,without_noise,log_100_1687182078,0.005,200.0,500.0,,[1230],[1133],1.0,97.0,00:00:02,2.7607627492398024,0.0011638966059189723,,,,,,,
Zheng DBSCAN,without_noise,log_50_1687182000,,,,,"[1170.0, 1379.75, 1605.3333333333333, 2109.0, 2435.9, 2810.5, 3202.0, 3464.0, 3586.5, 3757.25, 3882.0, 4026.0, 4200.0, 4281.5, 4762.0]","[1406, 1636, 2269, 2506, 3766]",0.5,59.15333333333333,00:00:02,2.829610594548285,0.0005392816074991966,,,,,,600.0,60.0
Zheng DBSCAN,without_noise,log_50_1687182000,,,,,"[1170.0, 1379.75, 1605.3333333333333, 2109.0, 2435.9, 2810.5, 3202.0, 3714.75, 4026.0, 4254.333333333333, 4762.0]","[1406, 1636, 2269, 2506, 3766]",0.625,67.65333333333334,00:00:02,2.829610594548285,0.0005392816074991966,,,,,,600.0,120.0
Zheng DBSCAN,without_noise,log_50_1687182000,,,,,"[1170.0, 1476.4285714285713, 2109.0, 2435.9, 2810.5, 3202.0, 3835.375, 4762.0]","[1406, 1636, 2269, 2506, 3766]",0.6153846153846154,92.47589285714281,00:00:02,2.829610594548285,0.0005392816074991966,,,,,,600.0,180.0
Zheng DBSCAN,without_noise,log_50_1687182000,,,,,"[1438.125, 2406.181818181818, 2810.5, 3202.0, 3835.375, 4762.0]","[1406, 1636, 2269, 2506, 3766]",0.5454545454545454,67.10606060606067,00:00:02,2.829610594548285,0.0005392816074991966,,,,,,600.0,240.0
Zheng DBSCAN,without_noise,log_50_1687182000,,,,,"[1438.125, 2468.3846153846152, 3765.0, 4762.0]","[1406, 1636, 2269, 2506, 3766]",0.6666666666666665,23.58012820512825,00:00:02,2.829610594548285,0.0005392816074991966,,,,,,600.0,300.0
Process Graph Metrics,without_noise,log_47_1687181994,0.0001,200.0,500.0,,"[314, 674, 1220, 2043, 2355]","[1076, 1388]",0.28571428571428575,144.0,00:00:22,22.452841547317803,0.008956059651901795,,,,,,,
Martjushev ADWIN J,without_noise,log_17_1687181934,0.4,100.0,500.0,20.0,"[994, 1280, 2456, 3894]","[975, 1309, 2437, 2652, 3899]",0.888888888888889,18.0,00:00:50,50.91574627812952,0.01045927409164534,,,,,,,
Process Graph Metrics,without_noise,log_83_1687182046,0.005,400.0,500.0,,"[1253, 2754]","[1171, 1687, 2573, 2813]",0.6666666666666666,70.5,00:00:08,8.66675690934062,0.002378363586536943,,,,,,,
Process Graph Metrics,without_noise,log_31_1687181960,0.1,300.0,400.0,,"[450, 900, 2090, 3182, 3731, 4391]","[1043, 1868, 2070, 3338, 3677]",0.7272727272727272,93.25,00:00:04,4.542317780666053,0.001054636122745775,,,,,,,
LCDD,without_noise,log_68_1687182024,,,,,"[311, 667, 979, 1288, 1706, 2037, 2498, 2800, 3186, 3757, 4100]","[896, 1272, 1818, 2030, 2923, 3240]",0.7058823529411764,65.83333333333333,00:00:00,0.15802581515163183,3.4984683451767066e-05,,,300.0,300.0,5.0,,
Martjushev ADWIN J,without_noise,log_95_1687182068,0.4,100.0,500.0,50.0,[],"[561, 936, 2338, 2712, 4212]",,,00:01:32,92.46307893749326,0.016391256680995083,,,,,,,
Process Graph Metrics,without_noise,log_3_1687181920,0.05,400.0,400.0,,"[580, 1203, 1979, 2221]","[1041, 1298]",0.3333333333333333,95.0,00:00:09,9.092815905809402,0.004009178088981218,,,,,,,
LCDD,without_noise,log_45_1687181991,,,,,[545],[546],1.0,1.0,00:00:00,0.03262444119900465,2.3744134788212992e-05,,,200.0,200.0,5.0,,
Process Graph Metrics,without_noise,log_47_1687181994,0.005,400.0,400.0,,"[588, 1133, 2073]","[1076, 1388]",0.4,57.0,00:00:07,7.291989420540631,0.002908651543893351,,,,,,,
Process Graph Metrics,without_noise,log_85_1687182048,0.1,400.0,400.0,,"[1422, 1872]","[1308, 1543]",0.5,114.0,00:01:14,74.00235393084586,0.028616532842554467,,,,,,,
LCDD,without_noise,log_53_1687182005,,,,,"[1025, 1243, 1343, 1450, 1560]","[1024, 1283]",0.5714285714285715,20.5,00:00:00,0.03625186067074537,1.5187205978527597e-05,,,100.0,100.0,20.0,,
LCDD,without_noise,log_71_1687182031,,,,,"[939, 1039, 1151, 1251, 1960, 2096, 2196, 3302, 3467]","[940, 1158, 1961, 2167, 3303, 3626]",0.8,33.0,00:00:00,0.1521155061200261,3.37210166526327e-05,,,100.0,100.0,10.0,,
Process Graph Metrics,without_noise,log_59_1687182010,0.1,100.0,500.0,,"[1048, 2249, 3327]","[788, 1187, 2051, 3036, 3241]",0.7499999999999999,141.0,00:02:21,141.3957988070324,0.03659311563328996,,,,,,,
Martjushev J,without_noise,log_56_1687182007,0.55,,,,"[658, 1058, 1633, 2034]","[999, 1336]",0.3333333333333333,59.0,00:02:58,178.0990652469918,0.0661095268177401,200.0,,,,,,
Zheng DBSCAN,without_noise,log_80_1687182042,,,,,[979.5],[981],1.0,1.5,00:00:01,1.1611125217750669,0.0005479530541647318,,,,,,600.0,60.0
Zheng DBSCAN,without_noise,log_80_1687182042,,,,,[979.5],[981],1.0,1.5,00:00:01,1.1611125217750669,0.0005479530541647318,,,,,,600.0,120.0
Zheng DBSCAN,without_noise,log_80_1687182042,,,,,[979.5],[981],1.0,1.5,00:00:01,1.1611125217750669,0.0005479530541647318,,,,,,600.0,180.0
Zheng DBSCAN,without_noise,log_80_1687182042,,,,,[979.5],[981],1.0,1.5,00:00:01,1.1611125217750669,0.0005479530541647318,,,,,,600.0,240.0
Zheng DBSCAN,without_noise,log_80_1687182042,,,,,[979.5],[981],1.0,1.5,00:00:01,1.1611125217750669,0.0005479530541647318,,,,,,600.0,300.0
Process Graph Metrics,without_noise,log_82_1687182044,0.005,400.0,400.0,,[702],[642],1.0,60.0,00:00:13,13.083573755808175,0.006394708580551405,,,,,,,
Process Graph Metrics,without_noise,log_96_1687182073,0.05,100.0,500.0,,"[1040, 1875, 2878]","[805, 1076, 1645, 1910, 2579, 2949]",0.6666666666666666,47.333333333333336,00:00:02,2.799195538274944,0.0006789220320822081,,,,,,,
Martjushev ADWIN J,without_noise,log_89_1687182057,0.4,100.0,500.0,20.0,"[199, 1137, 1926, 2509]","[1144, 1943, 2486]",0.8571428571428571,15.666666666666666,00:00:06,6.453037762083113,0.0020003216869445483,,,,,,,
Martjushev ADWIN J,without_noise,log_14_1687181933,0.4,400.0,500.0,10.0,[1179],[1179],1.0,0.0,00:00:01,1.9232559259980917,0.0010284791048118136,,,,,,,
Zheng DBSCAN,without_noise,log_74_1687182036,,,,,"[517.5, 597.6666666666666, 663.0, 706.0, 751.6666666666666, 831.0]",[839],0.2857142857142857,8.0,00:00:00,0.5179376993328333,0.0003691644328815633,,,,,,400.0,40.0
Zheng DBSCAN,without_noise,log_74_1687182036,,,,,[753.5833333333334],[839],1.0,85.41666666666663,00:00:00,0.5179376993328333,0.0003691644328815633,,,,,,400.0,80.0
Zheng DBSCAN,without_noise,log_74_1687182036,,,,,[753.5833333333334],[839],1.0,85.41666666666663,00:00:00,0.5179376993328333,0.0003691644328815633,,,,,,400.0,120.0
Zheng DBSCAN,without_noise,log_74_1687182036,,,,,[753.5833333333334],[839],1.0,85.41666666666663,00:00:00,0.5179376993328333,0.0003691644328815633,,,,,,400.0,160.0
Zheng DBSCAN,without_noise,log_74_1687182036,,,,,[753.5833333333334],[839],1.0,85.41666666666663,00:00:00,0.5179376993328333,0.0003691644328815633,,,,,,400.0,200.0
Maaradji Runs,without_noise,log_75_1687182036,,,,,[1154],"[1099, 1445]",0.6666666666666666,55.0,00:00:05,5.176414595916867,0.002226414879964244,250.0,2.0,,,,,
Martjushev ADWIN J,without_noise,log_16_1687181934,0.4,400.0,400.0,50.0,[],"[1218, 1793, 2771]",,,00:00:25,25.247538816183805,0.006255584444049506,,,,,,,
Martjushev ADWIN J,without_noise,log_85_1687182048,0.4,100.0,500.0,50.0,[1449],"[1308, 1543]",0.6666666666666666,94.0,00:01:25,85.64169606473297,0.03311743854011329,,,,,,,
Martjushev ADWIN J,without_noise,log_7_1687181925,0.4,400.0,500.0,50.0,"[920, 1787, 2101]","[920, 1720, 2103, 3052, 3413]",0.7499999999999999,23.0,00:00:08,8.244460777379572,0.0017353106245799985,,,,,,,
Process Graph Metrics,without_noise,log_60_1687182015,0.05,100.0,500.0,,[812],[694],1.0,118.0,00:00:03,3.982807488180697,0.0018742623473791515,,,,,,,
Earth Mover's Distance,without_noise,log_73_1687182035,,,,,"[1472, 2412]","[1478, 2417, 2951, 3283]",0.6666666666666666,5.5,00:00:02,2.179020977579057,0.0004894476589350982,100.0,2.0,,,,,
Process Graph Metrics,without_noise,log_97_1687182074,0.0001,100.0,400.0,,"[1216, 2556, 3842]","[1151, 2334, 3469, 3787]",0.5714285714285715,60.0,00:00:09,9.696562436409295,0.0019451479310750842,,,,,,,
LCDD,without_noise,log_15_1687181933,,,,,[956],"[957, 1345]",0.6666666666666666,1.0,00:00:00,0.06373616587370634,2.4243501663638776e-05,,,200.0,200.0,50.0,,
LCDD,without_noise,log_15_1687181933,,,,,[956],"[957, 1345]",0.6666666666666666,1.0,00:00:00,0.07329797651618719,2.7880554019089842e-05,,,100.0,100.0,200.0,,
Martjushev ADWIN J,without_noise,log_49_1687181999,0.4,400.0,500.0,10.0,[686],"[605, 889]",0.6666666666666666,81.0,00:00:04,4.019832929596305,0.0021846918095632093,,,,,,,
Process Graph Metrics,without_noise,log_38_1687181974,0.05,300.0,400.0,,[1157],"[1060, 1266]",0.6666666666666666,97.0,00:00:13,13.141560859978199,0.005585023739897237,,,,,,,
Maaradji Runs,without_noise,log_98_1687182076,,,,,[928],"[896, 1153]",0.6666666666666666,32.0,00:00:00,0.9968560468405485,0.0005654316771642363,150.0,2.0,,,,,
Martjushev ADWIN J,without_noise,log_31_1687181960,0.4,400.0,400.0,10.0,"[1049, 1800, 2611, 3322]","[1043, 1868, 2070, 3338, 3677]",0.6666666666666665,30.0,00:01:42,102.32371208816767,0.02375753705320819,,,,,,,
Process Graph Metrics,without_noise,log_56_1687182007,0.05,400.0,400.0,,[1296],"[999, 1336]",0.6666666666666666,40.0,00:00:10,10.81515663024038,0.004014534755100364,,,,,,,
LCDD,without_noise,log_54_1687182005,,,,,[1170],"[1171, 1523, 2987, 3886, 4123]",0.33333333333333337,1.0,00:00:00,0.11116256844252348,2.305320788936613e-05,,,200.0,200.0,200.0,,
Process Graph Metrics,without_noise,log_3_1687181920,0.05,200.0,400.0,,"[495, 1157, 1707, 2034]","[1041, 1298]",0.3333333333333333,116.0,00:00:02,2.8053014427423477,0.001236905398034545,,,,,,,
Process Graph Metrics,without_noise,log_78_1687182040,0.0001,100.0,400.0,,[815],[743],1.0,72.0,00:00:02,2.64412843529135,0.0011825261338512297,,,,,,,
Process Graph Metrics,without_noise,log_62_1687182017,0.005,400.0,400.0,,"[600, 1580]",[540],0.6666666666666666,60.0,00:00:00,0.6787925250828266,0.00042318735977732333,,,,,,,
Martjushev J,without_noise,log_69_1687182027,0.55,,,,"[1385, 2378, 3084]","[1354, 1741, 2389, 2676, 3199]",0.7499999999999999,52.333333333333336,00:04:46,286.8447893410921,0.06790833080991764,200.0,,,,,,
Process Graph Metrics,without_noise,log_97_1687182074,0.005,300.0,500.0,,"[1211, 2427, 3636]","[1151, 2334, 3469, 3787]",0.8571428571428571,101.33333333333333,00:00:10,10.30114174168557,0.0020664276312308064,,,,,,,
