Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Bose J,with_noise_5,log_61_1692952452,200,2,"[2074, 3650, 4138, 4874, 5138, 6006, 6372, 7774, 9066, 10020, 10248, 10992, 11454, 13108, 15478]","[1461, 2278, 3644, 4850, 6300, 7761, 9161, 9996, 11400, 11926, 13119, 13979, 15446]",0.6428571428571429,36.77777777777778,00:03:13,193.39914067275822,0.011670939633863871
Bose WC,with_noise_5,log_61_1692952452,200,2,"[3642, 4868, 6306, 7840, 11454, 15488]","[1461, 2278, 3644, 4850, 6300, 7761, 9161, 9996, 11400, 11926, 13119, 13979, 15446]",0.631578947368421,33.5,00:03:05,185.70123416744173,0.011206398779038182
