Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Bose J,without_noise,log_10_1687181929,100,2,[],"[1446, 1821]",,,00:02:25,145.53304401040077,0.056473823830190444
Bose WC,without_noise,log_10_1687181929,100,2,[],"[1446, 1821]",,,00:02:00,120.74262567982078,0.046853948653403484
