Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Bose J,with_noise_10,log_6_1692952173,500,2,"[2090, 3280, 4768, 6172, 6176, 7702, 9084]","[1350, 1920, 3342, 4346, 5008, 6173, 7280, 8196, 9350]",0.375,77.66666666666667,00:05:35,335.7260278444737,0.03166031948740793
Bose WC,with_noise_10,log_6_1692952173,500,2,"[3356, 5158, 6012, 9292]","[1350, 1920, 3342, 4346, 5008, 6173, 7280, 8196, 9350]",0.6153846153846153,95.75,00:06:38,398.922613883391,0.03762001262574415
