,Algorithm,Accuracy
0,Bose J,0.684285040113261
1,Bose WC,0.6183206106870229
2,Earth Mover's Distance,0.6666666666666666
3,LCDD,0.48146317350469603
4,Maaradji Runs,0.3554603854389722
5,Martjushev ADWIN J,0.5190023752969121
6,Process Graph Metrics,0.6432207311429894
7,Zheng DBSCAN,0.5175
