,Algorithm,Accuracy
0,Bose J,0.7192071731949032
1,Bose WC,0.6444929116684842
2,Earth Mover's Distance,0.6846119336025123
3,LCDD,0.49283242708848246
4,Maaradji Runs,0.3554603854389722
5,Martjushev ADWIN J,0.5395894428152493
6,Process Graph Metrics,0.693935119887165
7,Zheng DBSCAN,0.5666666666666667
