Category,Parameter,Best_f1,Best_config
Bose J,,0.5677456316241765,"(150.0, 2.0)"
Bose WC,,0.5094339622641509,"(250.0, 2.0)"
Earth Mover's Distance,,0.5177944862155388,"(150.0, 2.0)"
LCDD,,0.4914229701029244,"(400.0, 400.0, 5.0)"
Maaradji Runs,,0.3436454849498327,"(400.0, 2.0)"
Martjushev ADWIN J,,0.48805116122517667,"(200.0, 700.0, 0.4, 20.0)"
Process Graph Metrics,,0.5365736284889318,"(300.0, 400.0, 0.1)"
Zheng DBSCAN,,0.4522752497225305,"(600.0, 180.0)"
