Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Bose J,with_noise_10,log_33_1692952312,600,2,"[1216, 1604, 2738, 3372, 3972, 4636, 5056, 6792]","[1422, 2484, 3325, 4734, 5708, 6899]",0.5714285714285715,108.5,00:11:29,689.5325014796108,0.08326681578065581
Bose WC,with_noise_10,log_33_1692952312,600,2,"[3372, 3794, 3986, 4636, 5056, 6822]","[1422, 2484, 3325, 4734, 5708, 6899]",0.5,74.0,00:13:16,796.5345136802644,0.09618820355998844
