Category,Parameter,F1,Precision,Recall
Bose J,"(100.0, 2.0)",0.4865446716899892,0.8129496402877698,0.34715821812596004
Bose J,"(150.0, 2.0)",0.5564168819982773,0.6333333333333333,0.49615975422427033
Bose J,"(200.0, 2.0)",0.5366614664586583,0.5451664025356577,0.5284178187403994
Bose J,"(250.0, 2.0)",0.5172413793103449,0.5051244509516838,0.5299539170506913
Bose J,"(300.0, 2.0)",0.5084226646248086,0.5068702290076336,0.5099846390168971
Bose J,"(350.0, 2.0)",0.505066250974279,0.5126582278481012,0.4976958525345622
Bose J,"(400.0, 2.0)",0.5207667731629393,0.5424292845257903,0.500768049155146
Bose J,"(450.0, 2.0)",0.4916201117318436,0.5116279069767442,0.4731182795698925
Bose J,"(500.0, 2.0)",0.5135802469135802,0.5531914893617021,0.4792626728110599
Bose J,"(550.0, 2.0)",0.4918300653594771,0.525305410122164,0.46236559139784944
Bose J,"(600.0, 2.0)",0.49914236706689535,0.5650485436893203,0.4470046082949309
Bose WC,"(100.0, 2.0)",0.355889724310777,0.9659863945578231,0.21812596006144394
Bose WC,"(150.0, 2.0)",0.5142857142857143,0.826530612244898,0.37327188940092165
Bose WC,"(200.0, 2.0)",0.49115913555992136,0.6811989100817438,0.38402457757296465
Bose WC,"(250.0, 2.0)",0.5023518344308561,0.6480582524271845,0.41013824884792627
Bose WC,"(300.0, 2.0)",0.5114995400183993,0.6376146788990825,0.4270353302611367
Bose WC,"(350.0, 2.0)",0.5,0.6329411764705882,0.41321044546851
Bose WC,"(400.0, 2.0)",0.4958677685950413,0.6164383561643836,0.4147465437788018
Bose WC,"(450.0, 2.0)",0.48417132216014896,0.6146572104018913,0.39938556067588327
Bose WC,"(500.0, 2.0)",0.4851851851851852,0.6107226107226107,0.402457757296467
Bose WC,"(550.0, 2.0)",0.4547996272134203,0.5781990521327014,0.37480798771121354
Bose WC,"(600.0, 2.0)",0.4628252788104089,0.5858823529411765,0.3824884792626728
Earth Mover's Distance,"(100.0, 2.0)",0.48748841519925856,0.6144859813084113,0.4039938556067588
Earth Mover's Distance,"(150.0, 2.0)",0.5205479452054794,0.5158371040723982,0.5253456221198156
Earth Mover's Distance,"(200.0, 2.0)",0.5286219081272084,0.4895287958115183,0.5745007680491552
Earth Mover's Distance,"(250.0, 2.0)",0.4821428571428571,0.4360248447204969,0.5391705069124424
Earth Mover's Distance,"(300.0, 2.0)",0.46550522648083625,0.4260204081632653,0.5130568356374808
Earth Mover's Distance,"(350.0, 2.0)",0.46709129511677283,0.4330708661417323,0.5069124423963134
Earth Mover's Distance,"(400.0, 2.0)",0.45983787767133383,0.44192634560906513,0.4792626728110599
Earth Mover's Distance,"(450.0, 2.0)",0.4544049459041731,0.4572317262830482,0.45161290322580644
Earth Mover's Distance,"(500.0, 2.0)",0.4595676541232987,0.479933110367893,0.44086021505376344
Earth Mover's Distance,"(550.0, 2.0)",0.47320692497938993,0.5106761565836299,0.44086021505376344
Earth Mover's Distance,"(600.0, 2.0)",0.48976109215017066,0.5508637236084453,0.44086021505376344
LCDD,"(100.0, 100.0, 5.0)",0.177007299270073,0.09822784810126582,0.8940092165898618
LCDD,"(100.0, 100.0, 10.0)",0.17442895283298723,0.09653587259891644,0.9032258064516129
LCDD,"(100.0, 100.0, 20.0)",0.1763447432762836,0.09791277787205159,0.8863287250384024
LCDD,"(100.0, 100.0, 50.0)",0.1844106463878327,0.10280869104398516,0.8940092165898618
LCDD,"(100.0, 100.0, 100.0)",0.1753823743627094,0.09687801738010943,0.9247311827956989
