Category,Parameter,Best_f1,Best_config
Bose J,,0.5589958158995816,"(150.0, 2.0)"
Bose WC,,0.5183098591549296,"(250.0, 2.0)"
Earth Mover's Distance,,0.5148809523809523,"(150.0, 2.0)"
LCDD,,0.5032341526520051,"(600.0, 600.0, 50.0)"
Maaradji Runs,,0.39272727272727276,"(400.0, 2.0)"
Martjushev ADWIN J,,0.5813449023861171,"(400.0, 700.0, 0.4, 10.0)"
Process Graph Metrics,,0.5317527519051651,"(100.0, 400.0, 0.005)"
Zheng DBSCAN,,0.4427184466019417,"(500.0, 200.0)"
