Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Complete-Window Size,Detection-Window Size,Stable Period,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,MRID,Epsilon
Bose WC,without_noise,log_12_1687181931,200.0,2.0,[708],"[969, 1263]",,,00:00:07,7.7560687540099025,0.0043696161994421,,,,,,,,,
Bose J,without_noise,log_12_1687181931,300.0,2.0,"[684, 1256]","[969, 1263]",0.5,7.0,00:00:08,8.426077808253467,0.0047470860891568,,,,,,,,,
Bose WC,without_noise,log_12_1687181931,300.0,2.0,[684],"[969, 1263]",,,00:00:07,7.235238252207637,0.004076190564624,,,,,,,,,
Bose J,without_noise,log_13_1687181932,400.0,2.0,"[1406, 3032, 3060]","[627, 835, 1407, 2856, 3239]",0.7499999999999999,118.66666666666669,00:00:46,46.772270063869655,0.0105342950594301,,,,,,,,,
Bose WC,without_noise,log_13_1687181932,400.0,2.0,"[1416, 3046]","[627, 835, 1407, 2856, 3239]",0.5714285714285715,99.5,00:00:35,35.17547865957022,0.0079224051035068,,,,,,,,,
Bose J,with_noise_20,log_13_1687181932,500.0,2.0,"[1408, 2264, 3030]","[627, 835, 1407, 2856, 3239]",0.5,87.5,00:01:00,60.38633039686829,0.0136005248641595,,,,,,,,,
Bose WC,with_noise_20,log_13_1687181932,500.0,2.0,"[1008, 1112, 1520, 3118]","[627, 835, 1407, 2856, 3239]",0.6666666666666665,135.66666666666666,00:01:07,67.21219495125115,0.0151378817457772,,,,,,,,,
Bose J,without_noise,log_13_1687181932,600.0,2.0,"[1408, 3032, 3060]","[627, 835, 1407, 2856, 3239]",0.7499999999999999,118.66666666666669,00:01:00,60.95402646623552,0.0137283843392422,,,,,,,,,
Bose WC,without_noise,log_13_1687181932,600.0,2.0,"[1500, 3046]","[627, 835, 1407, 2856, 3239]",0.5714285714285715,141.5,00:00:37,37.28770503588021,0.0083981317648378,,,,,,,,,
Bose J,with_noise_10,log_14_1687181933,100.0,2.0,[1178],[1179],1.0,1.0,00:00:05,5.903295933268964,0.0031568427450636,,,,,,,,,
Bose WC,with_noise_10,log_14_1687181933,100.0,2.0,[1172],[1179],1.0,7.0,00:00:10,10.560462689958513,0.0056473062513147,,,,,,,,,
Bose J,with_noise_20,log_14_1687181933,300.0,2.0,"[570, 1176]",[1179],0.6666666666666666,3.0,00:00:11,11.675932991318405,0.0062438144338601,,,,,,,,,
Bose WC,with_noise_20,log_14_1687181933,300.0,2.0,[1178],[1179],1.0,1.0,00:00:13,13.285562306642532,0.0071045787736056,,,,,,,,,
Bose J,with_noise_10,log_14_1687181933,400.0,2.0,[],[1179],,,00:00:11,11.538950284942985,0.0061705616497021,,,,,,,,,
Bose WC,with_noise_10,log_14_1687181933,400.0,2.0,[1192],[1179],1.0,13.0,00:00:14,14.850658411160111,0.0079415285621177,,,,,,,,,
Bose J,without_noise,log_14_1687181933,500.0,2.0,[],[1179],,,00:00:10,10.275663003325462,0.0054950069536499,,,,,,,,,
Bose WC,without_noise,log_14_1687181933,500.0,2.0,[],[1179],,,00:00:07,7.911431411281228,0.0042307119846423,,,,,,,,,
Bose J,with_noise_20,log_14_1687181933,600.0,2.0,[],[1179],,,00:00:09,9.914540083147584,0.0053018930925922,,,,,,,,,
Bose WC,with_noise_20,log_14_1687181933,600.0,2.0,[],[1179],,,00:00:11,11.27048178575933,0.0060269956073579,,,,,,,,,
