Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Earth Mover's Distance,with_noise_5,log_61_1687182016,200,2,"[470, 1200]","[1128, 1415]",0.5,72.0,00:00:01,1.6849993895739317,0.0006556417858264326
Earth Mover's Distance,with_noise_15,log_18_1687181937,200,2,[],"[1013, 1325]",,,00:01:20,80.11705391667783,0.03797016773302267
Earth Mover's Distance,with_noise_5,log_74_1687182036,100,2,[],[839],,,00:00:05,5.860247410833836,0.004176940421121765
Earth Mover's Distance,with_noise_10,log_33_1687181967,300,2,[990],[987],1.0,3.0,00:00:12,12.413011310622096,0.008118385422251207
Earth Mover's Distance,with_noise_5,log_22_1687181941,300,2,"[1334, 2578, 3670]","[1159, 1512, 2578, 3506, 3838]",0.7499999999999999,113.0,00:00:07,7.8575676791369915,0.0016750304155056473
Earth Mover's Distance,with_noise_15,log_7_1687181925,200,2,"[384, 650, 918, 1960, 3256]","[920, 1720, 2103, 3052, 3413]",0.6,100.66666666666667,00:00:15,15.305313047021627,0.0032214929587500796
Earth Mover's Distance,with_noise_15,log_51_1687182003,300,2,[868],[882],1.0,14.0,00:01:21,81.61402284353971,0.03442177260377044
Earth Mover's Distance,with_noise_5,log_84_1687182047,200,2,"[1340, 1628]",[1338],0.6666666666666666,2.0,00:00:18,18.539468437433243,0.0072732320272394044
Earth Mover's Distance,with_noise_5,log_33_1687181967,100,2,[990],[987],1.0,3.0,00:00:01,1.797999382019043,0.0011759315775140896
Earth Mover's Distance,without_noise,log_67_1687182023,300,2,"[510, 828, 1026, 1038, 2286, 3128, 3684]","[933, 1145, 2289, 3129]",0.7272727272727273,51.0,00:00:00,0.37775437347590923,8.49841110182023e-05
Earth Mover's Distance,without_noise,log_50_1687182000,100,2,[4642],"[1406, 1636, 2269, 2506, 3766]",,,00:01:04,64.56317233294249,0.012304778412986942
Earth Mover's Distance,without_noise,log_70_1687182031,200,2,[594],[608],1.0,14.0,00:00:09,9.180229576304555,0.00624080868545517
Earth Mover's Distance,with_noise_5,log_32_1687181966,300,2,"[492, 808, 1504]","[1402, 1725]",0.4,102.0,00:00:15,15.11998077109456,0.004999993641234973
Earth Mover's Distance,with_noise_5,log_97_1687182074,300,2,"[1150, 2334, 2874, 3626, 4428]","[1151, 2334, 3469, 3787]",0.6666666666666665,52.666666666666664,00:02:15,135.27179529704154,0.02713576635848376
Earth Mover's Distance,without_noise,log_63_1687182017,100,2,"[1732, 2706, 3780]","[727, 968, 1760, 2588, 2871]",0.5,73.0,00:00:06,6.6435948722064495,0.0015643030073478807
Earth Mover's Distance,with_noise_10,log_97_1687182074,200,2,"[482, 626, 1150, 1564, 2328, 3190, 3602]","[1151, 2334, 3469, 3787]",0.5454545454545454,46.666666666666664,00:01:38,98.30679221265018,0.01972052000253765
Earth Mover's Distance,with_noise_10,log_22_1687181941,100,2,"[1470, 2578, 3732]","[1159, 1512, 2578, 3506, 3838]",0.7499999999999999,49.333333333333336,00:00:05,5.893248595297337,0.0012562883383707816
Earth Mover's Distance,with_noise_15,log_8_1687181927,200,2,"[590, 1014, 1932]","[778, 1133]",0.8,153.5,00:01:40,100.27347748167813,0.04407625383810028
Earth Mover's Distance,with_noise_5,log_26_1687181951,300,2,[1492],"[1394, 1683]",0.6666666666666666,98.0,00:00:40,40.30213633365929,0.014860669739549887
Earth Mover's Distance,with_noise_10,log_21_1687181940,200,2,"[332, 668, 1190]",[668],0.5,0.0,00:02:29,149.517551664263,0.08108327096760468
Earth Mover's Distance,with_noise_10,log_34_1687181968,200,2,[1196],"[1087, 1302]",0.6666666666666666,106.0,00:00:41,41.46312331035733,0.0155876403422396
Earth Mover's Distance,with_noise_5,log_90_1687182058,300,2,"[650, 1074]",[652],0.6666666666666666,2.0,00:00:20,20.721559822559357,0.01102797223127161
Earth Mover's Distance,without_noise,log_67_1687182023,200,2,"[510, 1082, 2280, 2662, 2682, 3122]","[933, 1145, 2289, 3129]",0.6,26.333333333333332,00:00:00,0.28884310461580753,6.49815758415765e-05
Earth Mover's Distance,with_noise_15,log_73_1687182035,200,2,"[364, 1472, 1756, 2418, 3082, 3780]","[1478, 2417, 2951, 3283]",0.6,46.0,00:00:41,41.68640688806772,0.009363523559763639
Earth Mover's Distance,without_noise,log_77_1687182038,300,2,"[480, 1216, 1780, 2398, 3136]","[560, 1784, 3134]",0.7499999999999999,28.666666666666668,00:00:48,48.097889015451074,0.010624671750707106
Earth Mover's Distance,with_noise_15,log_13_1687181932,300,2,"[740, 1406, 1954, 3060, 3692]","[627, 835, 1407, 2856, 3239]",0.6,91.66666666666667,00:00:18,18.441591303795576,0.0041535115549089134
Earth Mover's Distance,with_noise_10,log_64_1687182018,100,2,[1358],[1359],1.0,1.0,00:02:04,124.25675069727004,0.06294668221746202
Earth Mover's Distance,without_noise,log_91_1687182059,200,2,"[992, 1290, 1622, 2014, 2684, 3656, 4150, 4752]","[806, 1021, 2361, 2754, 3407, 3685]",0.42857142857142855,42.666666666666664,00:07:15,435.3657423276454,0.08466856132392948
Earth Mover's Distance,with_noise_5,log_76_1687182037,200,2,"[1044, 1740, 2748]","[1056, 1741, 2740]",1.0,7.0,00:00:03,3.632441310212016,0.00110982013755332
Earth Mover's Distance,with_noise_10,log_75_1687182036,100,2,[],"[1099, 1445]",,,00:00:06,6.978528570383787,0.003001517664681199
Earth Mover's Distance,with_noise_10,log_59_1687182010,200,2,"[896, 2050, 3108]","[788, 1187, 2051, 3036, 3241]",0.7499999999999999,60.333333333333336,00:11:55,715.148988455534,0.18507996595640114
Earth Mover's Distance,with_noise_5,log_22_1687181941,100,2,"[1404, 2578, 3612, 4370]","[1159, 1512, 2578, 3506, 3838]",0.6666666666666665,71.33333333333333,00:00:02,2.187837151810527,0.0004663903542550686
Earth Mover's Distance,without_noise,log_35_1687181968,100,2,"[1676, 2480, 4470]","[842, 1057, 2418, 2651, 3788, 4180]",0.2222222222222222,62.0,00:00:00,0.2694973759353161,4.7995970781000194e-05
