Category,Parameter,F1,Precision,Recall
Bose J,"(100.0, 2.0)",0.48927662668120686,0.843358395989975,0.34459805427547363
Bose J,"(150.0, 2.0)",0.5677456316241765,0.6443433029908973,0.5074244751664106
Bose J,"(200.0, 2.0)",0.5396825396825397,0.5486772486772487,0.5309779825908858
Bose J,"(250.0, 2.0)",0.5247450882864959,0.5101547388781431,0.540194572452637
Bose J,"(300.0, 2.0)",0.5141414141414142,0.5072247135027405,0.5212493599590374
Bose J,"(350.0, 2.0)",0.5016722408026756,0.5041365046535677,0.49923195084485406
Bose J,"(400.0, 2.0)",0.5140411874832843,0.538073908174692,0.49206349206349204
Bose J,"(450.0, 2.0)",0.5021528525296017,0.5292115711854793,0.47772657450076805
Bose J,"(500.0, 2.0)",0.5030103995621237,0.540270429159318,0.47055811571940603
Bose J,"(550.0, 2.0)",0.49404597064525063,0.5379975874547648,0.4567332309267793
Bose J,"(600.0, 2.0)",0.49560034061879077,0.5560509554140127,0.4470046082949309
Bose WC,"(100.0, 2.0)",0.36099585062240663,0.9518599562363238,0.2227342549923195
Bose WC,"(150.0, 2.0)",0.49787535410764877,0.8071182548794489,0.35995903737839224
Bose WC,"(200.0, 2.0)",0.487012987012987,0.6654835847382431,0.38402457757296465
Bose WC,"(250.0, 2.0)",0.5094339622641509,0.6601466992665037,0.4147465437788018
Bose WC,"(300.0, 2.0)",0.5021671826625387,0.6350822239624119,0.41525857654889914
Bose WC,"(350.0, 2.0)",0.49969268592501537,0.6249039200614912,0.4162826420890937
Bose WC,"(400.0, 2.0)",0.49108789182544554,0.6141429669485011,0.4091141833077317
Bose WC,"(450.0, 2.0)",0.49056603773584906,0.61953125,0.40604198668714797
Bose WC,"(500.0, 2.0)",0.47229959764778706,0.5970266040688575,0.3906810035842294
Bose WC,"(550.0, 2.0)",0.46291718170580964,0.5837879968823071,0.3835125448028674
Bose WC,"(600.0, 2.0)",0.45474475414970245,0.5854838709677419,0.3717357910906298
Earth Mover's Distance,"(100.0, 2.0)",0.48378127896200185,0.6098130841121495,0.4009216589861751
Earth Mover's Distance,"(150.0, 2.0)",0.5177944862155388,0.5071183112420226,0.5289298515104967
Earth Mover's Distance,"(200.0, 2.0)",0.5092936802973977,0.46618460229689496,0.5611879160266257
Earth Mover's Distance,"(250.0, 2.0)",0.4831612034126628,0.4302279088364654,0.55094726062468
Earth Mover's Distance,"(300.0, 2.0)",0.46521335807050096,0.4251801610852056,0.5135688684075781
Earth Mover's Distance,"(350.0, 2.0)",0.46730310262529834,0.4376396960214573,0.5012800819252432
Earth Mover's Distance,"(400.0, 2.0)",0.4624505928853755,0.4467780429594272,0.4792626728110599
Earth Mover's Distance,"(450.0, 2.0)",0.461020461020461,0.46645702306079667,0.45570916538658474
Earth Mover's Distance,"(500.0, 2.0)",0.46716497597437273,0.4880089235917457,0.44802867383512546
Earth Mover's Distance,"(550.0, 2.0)",0.4767214942849178,0.5232558139534884,0.4377880184331797
Earth Mover's Distance,"(600.0, 2.0)",0.4826999432785025,0.5410044500953591,0.43573988735279057
LCDD,"(100.0, 100.0, 5.0)",0.17650025214321735,0.09789114504670807,0.8960573476702509
LCDD,"(100.0, 100.0, 10.0)",0.17650025214321735,0.09789114504670807,0.8960573476702509
LCDD,"(100.0, 100.0, 20.0)",0.17650025214321735,0.09789114504670807,0.8960573476702509
LCDD,"(100.0, 100.0, 50.0)",0.17650025214321735,0.09789114504670807,0.8960573476702509
LCDD,"(100.0, 100.0, 100.0)",0.17650025214321735,0.09789114504670807,0.8960573476702509
LCDD,"(100.0, 100.0, 150.0)",0.17650025214321735,0.09789114504670807,0.8960573476702509
LCDD,"(100.0, 100.0, 200.0)",0.17650025214321735,0.09789114504670807,0.8960573476702509
LCDD,"(200.0, 200.0, 5.0)",0.3176206509539843,0.1943014074836938,0.869431643625192
LCDD,"(200.0, 200.0, 10.0)",0.3176206509539843,0.1943014074836938,0.869431643625192
LCDD,"(200.0, 200.0, 20.0)",0.3176206509539843,0.1943014074836938,0.869431643625192
LCDD,"(200.0, 200.0, 50.0)",0.3176206509539843,0.1943014074836938,0.869431643625192
LCDD,"(200.0, 200.0, 100.0)",0.3176206509539843,0.1943014074836938,0.869431643625192
LCDD,"(200.0, 200.0, 150.0)",0.3176206509539843,0.1943014074836938,0.869431643625192
LCDD,"(200.0, 200.0, 200.0)",0.3176206509539843,0.1943014074836938,0.869431643625192
LCDD,"(300.0, 300.0, 5.0)",0.426125888859626,0.2868285764935295,0.8284690220174091
LCDD,"(300.0, 300.0, 10.0)",0.426125888859626,0.2868285764935295,0.8284690220174091
LCDD,"(300.0, 300.0, 20.0)",0.426125888859626,0.2868285764935295,0.8284690220174091
LCDD,"(300.0, 300.0, 50.0)",0.426125888859626,0.2868285764935295,0.8284690220174091
LCDD,"(300.0, 300.0, 100.0)",0.426125888859626,0.2868285764935295,0.8284690220174091
LCDD,"(300.0, 300.0, 150.0)",0.426125888859626,0.2868285764935295,0.8284690220174091
LCDD,"(300.0, 300.0, 200.0)",0.426125888859626,0.2868285764935295,0.8284690220174091
LCDD,"(400.0, 400.0, 5.0)",0.4914229701029244,0.36084452975047987,0.7700972862263185
LCDD,"(400.0, 400.0, 10.0)",0.4914229701029244,0.36084452975047987,0.7700972862263185
LCDD,"(400.0, 400.0, 20.0)",0.4914229701029244,0.36084452975047987,0.7700972862263185
LCDD,"(400.0, 400.0, 50.0)",0.4914229701029244,0.36084452975047987,0.7700972862263185
LCDD,"(400.0, 400.0, 100.0)",0.4914229701029244,0.36084452975047987,0.7700972862263185
