Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Maaradji Runs,without_noise,log_50_1687182000,50,2,[3766],"[1406, 1636, 2269, 2506, 3766]",0.3333333333333333,0.0,00:04:06,246.26478048972783,0.0469343968915052
Maaradji Runs,without_noise,log_51_1687182003,100,2,[],[882],,,00:00:54,54.17709151934832,0.0228498909824328
Maaradji Runs,with_noise_10,log_51_1687182003,200,2,[],[882],,,00:00:04,4.780718105845153,0.0020163298632834
Maaradji Runs,with_noise_10,log_51_1687182003,250,2,[],[882],,,00:00:04,4.667976710014045,0.0019687797174247
Maaradji Runs,with_noise_10,log_51_1687182003,300,2,[],[882],,,00:00:04,4.717437974177301,0.0019896406470591
Maaradji Runs,with_noise_10,log_51_1687182003,50,2,[],[882],,,00:00:05,5.093775546178222,0.002148365898852
Maaradji Runs,without_noise,log_52_1687182004,100,2,[],"[1221, 1560]",,,00:00:01,1.3133636871352792,0.0004462669681057
Maaradji Runs,without_noise,log_52_1687182004,150,2,[1542],"[1221, 1560]",0.6666666666666666,18.0,00:00:01,1.2807143004611137,0.0004351730548627
Maaradji Runs,without_noise,log_52_1687182004,250,2,[1404],"[1221, 1560]",0.6666666666666666,156.0,00:00:00,0.782419609837234,0.0002658578354866
Maaradji Runs,without_noise,log_52_1687182004,300,2,[1404],"[1221, 1560]",0.6666666666666666,156.0,00:00:01,1.2873689327389002,0.0004374342279099
Maaradji Runs,without_noise,log_52_1687182004,50,2,[],"[1221, 1560]",,,00:00:01,1.247292977757752,0.0004238168459931
Maaradji Runs,with_noise_10,log_53_1687182005,150,2,[],"[1024, 1283]",,,00:00:00,0.8325971970334649,0.0003488048584136
Maaradji Runs,without_noise,log_53_1687182005,200,2,[1044],"[1024, 1283]",0.6666666666666666,20.0,00:00:02,2.258195700123906,0.000946039254346
Maaradji Runs,with_noise_10,log_53_1687182005,300,2,[],"[1024, 1283]",,,00:00:00,0.8692371705546975,0.0003641546587996
Maaradji Runs,with_noise_20,log_53_1687182005,50,2,[],"[1024, 1283]",,,00:00:00,0.673199750483036,0.0002820275452379
Maaradji Runs,with_noise_20,log_54_1687182005,100,2,[],"[1171, 1523, 2987, 3886, 4123]",,,00:00:02,2.729776985011995,0.0005661088728768
Maaradji Runs,with_noise_20,log_54_1687182005,150,2,[],"[1171, 1523, 2987, 3886, 4123]",,,00:00:02,2.551053679548204,0.0005290447282347
Maaradji Runs,with_noise_20,log_54_1687182005,200,2,[],"[1171, 1523, 2987, 3886, 4123]",,,00:00:01,1.4811644423753023,0.0003071680718322
Maaradji Runs,without_noise,log_54_1687182005,50,2,[2976],"[1171, 1523, 2987, 3886, 4123]",0.3333333333333333,11.0,00:00:02,2.06392094027251,0.0004280217628105
Maaradji Runs,with_noise_20,log_55_1687182006,150,2,[],"[1185, 1392]",,,00:00:01,1.4249176802113652,0.0005177753198442
Maaradji Runs,with_noise_10,log_55_1687182006,200,2,[],"[1185, 1392]",,,00:00:00,0.9002723433077335,0.0003271338456786
Maaradji Runs,with_noise_20,log_55_1687182006,300,2,[],"[1185, 1392]",,,00:00:01,1.258128471672535,0.0004571687760437
Maaradji Runs,with_noise_20,log_56_1687182007,200,2,[],"[999, 1336]",,,00:00:07,7.530040483921766,0.0027951152501565
Maaradji Runs,with_noise_10,log_56_1687182007,250,2,[],"[999, 1336]",,,00:00:06,6.1147014778107405,0.0022697481357872
Maaradji Runs,with_noise_20,log_57_1687182008,100,2,[],"[1216, 1576, 2324, 2698, 4174, 4390]",,,00:00:03,3.8800215795636177,0.0006852740338332
Maaradji Runs,with_noise_20,log_57_1687182008,250,2,[],"[1216, 1576, 2324, 2698, 4174, 4390]",,,00:00:04,4.2071517668664455,0.0007430504710113
Maaradji Runs,with_noise_20,log_57_1687182008,300,2,[],"[1216, 1576, 2324, 2698, 4174, 4390]",,,00:00:03,3.949628808535636,0.0006975677867424
Maaradji Runs,without_noise,log_57_1687182008,50,2,[],"[1216, 1576, 2324, 2698, 4174, 4390]",,,00:00:01,1.2862663203850389,0.0002271752596935
Maaradji Runs,with_noise_20,log_58_1687182010,100,2,[],[566],,,00:00:00,0.7752711651846766,0.0004681589161743
Maaradji Runs,with_noise_20,log_58_1687182010,200,2,[],[566],,,00:00:00,0.8847614787518978,0.0005342762552849
Maaradji Runs,with_noise_20,log_58_1687182010,250,2,[],[566],,,00:00:00,0.8281913194805384,0.0005001155310872
Maaradji Runs,with_noise_20,log_58_1687182010,50,2,[],[566],,,00:00:00,0.8314740089699626,0.0005020978315036
Maaradji Runs,without_noise,log_59_1687182010,100,2,[2054],"[788, 1187, 2051, 3036, 3241]",0.3333333333333333,3.0,00:11:48,708.5869575124234,0.1833817177827182
Maaradji Runs,with_noise_10,log_59_1687182010,150,2,[],"[788, 1187, 2051, 3036, 3241]",,,00:00:57,57.6103762453422,0.014909517661838
Maaradji Runs,without_noise,log_59_1687182010,200,2,"[974, 2034, 3130]","[788, 1187, 2051, 3036, 3241]",0.7499999999999999,99.0,00:11:47,707.224504836835,0.1830291161586011
