Algorithm,Log Source,Log,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Zheng DBSCAN,with_noise_10,log_10_1687181929,500,50.0,"[1264.9846153846154, 2058.0, 2280.157894736842, 2526.875]","[1446, 1821]",0.3333333333333333,181.01538461538465,00:00:01,1.326311307027936,0.00051467260653
Zheng DBSCAN,without_noise,log_10_1687181929,600,120.0,"[861.875, 1123.75, 1624.7384615384615, 2219.25, 2469.0]","[1446, 1821]",0.2857142857142857,178.73846153846148,00:00:01,1.3170271636918187,0.0005110699121815
Zheng DBSCAN,without_noise,log_10_1687181929,600,180.0,[1565.6477272727273],"[1446, 1821]",0.6666666666666666,119.64772727272724,00:00:01,1.3170271636918187,0.0005110699121815
Zheng DBSCAN,without_noise,log_10_1687181929,600,240.0,[1565.6477272727273],"[1446, 1821]",0.6666666666666666,119.64772727272724,00:00:01,1.3170271636918187,0.0005110699121815
Zheng DBSCAN,without_noise,log_10_1687181929,600,300.0,[1478.9052631578948],"[1446, 1821]",0.6666666666666666,32.90526315789475,00:00:01,1.3170271636918187,0.0005110699121815
Zheng DBSCAN,without_noise,log_10_1687181929,600,60.0,"[802.25, 921.5, 1123.75, 1325.6, 1634.9473684210527, 1929.3333333333333, 2109.0, 2178.0, 2263.0, 2327.0, 2469.0]","[1446, 1821]",0.3076923076923077,114.36666666666667,00:00:01,1.3170271636918187,0.0005110699121815
Zheng DBSCAN,with_noise_20,log_10_1687181929,700,140.0,"[974.0, 1213.5, 1430.0, 1614.0, 1814.0, 2066.0]","[1446, 1821]",0.5,11.5,00:00:01,1.4185409918427467,0.000550462162143
Zheng DBSCAN,with_noise_20,log_10_1687181929,700,210.0,"[974.0, 1457.0, 2066.0]","[1446, 1821]",0.4,11.0,00:00:01,1.4185409918427467,0.000550462162143
Zheng DBSCAN,with_noise_20,log_10_1687181929,700,280.0,[1475.0],"[1446, 1821]",0.6666666666666666,29.0,00:00:01,1.4185409918427467,0.000550462162143
Zheng DBSCAN,with_noise_20,log_10_1687181929,700,350.0,[1274.111111111111],"[1446, 1821]",0.6666666666666666,171.8888888888889,00:00:01,1.4185409918427467,0.000550462162143
Zheng DBSCAN,with_noise_20,log_10_1687181929,700,70.0,"[974.0, 1213.5, 1430.0, 1614.0, 1814.0, 2066.0]","[1446, 1821]",0.5,11.5,00:00:01,1.4185409918427467,0.000550462162143
Zheng DBSCAN,without_noise,log_10_1687181929,800,160.0,"[1507.125, 2143.5, 2462.5]","[1446, 1821]",0.4,61.125,00:00:01,1.389997124671936,0.0005393857682079
Zheng DBSCAN,without_noise,log_10_1687181929,800,240.0,"[1526.409090909091, 2462.5]","[1446, 1821]",0.5,80.40909090909099,00:00:01,1.389997124671936,0.0005393857682079
Zheng DBSCAN,without_noise,log_10_1687181929,800,320.0,[1507.1830985915492],"[1446, 1821]",0.6666666666666666,61.1830985915492,00:00:01,1.389997124671936,0.0005393857682079
Zheng DBSCAN,without_noise,log_10_1687181929,800,400.0,[1507.1830985915492],"[1446, 1821]",0.6666666666666666,61.1830985915492,00:00:01,1.389997124671936,0.0005393857682079
Zheng DBSCAN,without_noise,log_10_1687181929,800,80.0,"[806.0, 925.5, 1126.5, 1325.6, 1624.6122448979593, 2143.5, 2462.5]","[1446, 1821]",0.4444444444444445,158.3938775510204,00:00:01,1.389997124671936,0.0005393857682079
Zheng DBSCAN,with_noise_10,log_11_1687181931,400,120.0,"[406.0, 789.0, 959.5, 1252.0]",[1012],0.4,52.5,00:00:00,0.1083776885643601,6.393963927100893e-05
Zheng DBSCAN,with_noise_10,log_11_1687181931,400,160.0,"[406.0, 789.0, 959.5, 1252.0]",[1012],0.4,52.5,00:00:00,0.1083776885643601,6.393963927100893e-05
Zheng DBSCAN,with_noise_10,log_11_1687181931,400,200.0,"[406.0, 902.6666666666666, 1252.0]",[1012],0.5,109.33333333333336,00:00:00,0.1083776885643601,6.393963927100893e-05
Zheng DBSCAN,with_noise_10,log_11_1687181931,400,40.0,"[406.0, 789.0, 959.5, 1231.0, 1273.0]",[1012],0.3333333333333333,52.5,00:00:00,0.1083776885643601,6.393963927100893e-05
Zheng DBSCAN,with_noise_10,log_11_1687181931,400,80.0,"[406.0, 789.0, 959.5, 1252.0]",[1012],0.4,52.5,00:00:00,0.1083776885643601,6.393963927100893e-05
Zheng DBSCAN,with_noise_20,log_11_1687181931,500,100.0,[955.0],[1012],1.0,57.0,00:00:00,0.2025549607351422,0.0001195014517611
Zheng DBSCAN,with_noise_20,log_11_1687181931,500,150.0,[955.0],[1012],1.0,57.0,00:00:00,0.2025549607351422,0.0001195014517611
Zheng DBSCAN,with_noise_20,log_11_1687181931,500,200.0,[955.0],[1012],1.0,57.0,00:00:00,0.2025549607351422,0.0001195014517611
Zheng DBSCAN,with_noise_20,log_11_1687181931,500,250.0,[955.0],[1012],1.0,57.0,00:00:00,0.2025549607351422,0.0001195014517611
Zheng DBSCAN,with_noise_20,log_11_1687181931,500,50.0,[955.0],[1012],1.0,57.0,00:00:00,0.2025549607351422,0.0001195014517611
Zheng DBSCAN,without_noise,log_11_1687181931,600,120.0,[1011.0],[1012],1.0,1.0,00:00:00,0.1949361190199852,0.0001150065598937
Zheng DBSCAN,without_noise,log_11_1687181931,600,180.0,[1011.0],[1012],1.0,1.0,00:00:00,0.1949361190199852,0.0001150065598937
Zheng DBSCAN,without_noise,log_11_1687181931,600,240.0,[1011.0],[1012],1.0,1.0,00:00:00,0.1949361190199852,0.0001150065598937
Zheng DBSCAN,without_noise,log_11_1687181931,600,300.0,[1011.0],[1012],1.0,1.0,00:00:00,0.1949361190199852,0.0001150065598937
Zheng DBSCAN,without_noise,log_11_1687181931,600,60.0,[1011.0],[1012],1.0,1.0,00:00:00,0.1949361190199852,0.0001150065598937
Zheng DBSCAN,with_noise_20,log_11_1687181931,700,140.0,[],[1012],,,00:00:00,0.1174833420664072,6.931170623386856e-05
Zheng DBSCAN,with_noise_20,log_11_1687181931,700,210.0,[],[1012],,,00:00:00,0.1174833420664072,6.931170623386856e-05
Zheng DBSCAN,with_noise_20,log_11_1687181931,700,280.0,[],[1012],,,00:00:00,0.1174833420664072,6.931170623386856e-05
Zheng DBSCAN,with_noise_20,log_11_1687181931,700,350.0,[],[1012],,,00:00:00,0.1174833420664072,6.931170623386856e-05
Zheng DBSCAN,with_noise_20,log_11_1687181931,700,70.0,[],[1012],,,00:00:00,0.1174833420664072,6.931170623386856e-05
Zheng DBSCAN,with_noise_20,log_11_1687181931,800,160.0,[],[1012],,,00:00:00,0.200283171609044,0.0001181611631911
Zheng DBSCAN,with_noise_20,log_11_1687181931,800,240.0,[],[1012],,,00:00:00,0.200283171609044,0.0001181611631911
Zheng DBSCAN,with_noise_20,log_11_1687181931,800,320.0,[],[1012],,,00:00:00,0.200283171609044,0.0001181611631911
Zheng DBSCAN,with_noise_20,log_11_1687181931,800,400.0,[],[1012],,,00:00:00,0.200283171609044,0.0001181611631911
Zheng DBSCAN,with_noise_20,log_11_1687181931,800,80.0,[],[1012],,,00:00:00,0.200283171609044,0.0001181611631911
Zheng DBSCAN,with_noise_10,log_12_1687181931,300,120.0,[],"[969, 1263]",,,00:00:00,0.0940700247883796,5.299719706387587e-05
Zheng DBSCAN,with_noise_10,log_12_1687181931,300,150.0,[],"[969, 1263]",,,00:00:00,0.0940700247883796,5.299719706387587e-05
