Algorithm,Log Source,Log,Complete-Window Size,Detection-Window Size,Stable Period,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
LCDD,without_noise,log_10_1687181929,100,100,20,"[100, 204, 305, 408, 508, 616, 727, 834, 940, 1064, 1166, 1266, 1373, 1479, 1579, 1679, 1780, 1886, 1987, 2088, 2222, 2327, 2437, 2542]","[1446, 1821]",0.1538461538461538,37.0,00:00:00,0.0647423081099987,2.5123130814900545e-05
LCDD,with_noise_20,log_10_1687181929,100,100,5,"[100, 201, 306, 409, 509, 609, 711, 811, 911, 1014, 1114, 1214, 1318, 1419, 1519, 1624, 1729, 1833, 1933, 2038, 2139, 2239, 2341, 2442, 2542]","[1446, 1821]",0.1481481481481481,19.5,00:00:00,0.1315962374210357,5.106567226272245e-05
LCDD,with_noise_20,log_10_1687181929,1200,1200,100,[],"[1446, 1821]",,,00:00:00,0.0787586672231555,3.056215258950543e-05
LCDD,with_noise_20,log_10_1687181929,1200,1200,150,[],"[1446, 1821]",,,00:00:00,0.1510230889543891,5.860422543825731e-05
LCDD,with_noise_10,log_10_1687181929,1200,1200,20,[1469],"[1446, 1821]",0.6666666666666666,23.0,00:00:00,0.1344444984570145,5.2170934597211705e-05
LCDD,with_noise_20,log_10_1687181929,1200,1200,5,[],"[1446, 1821]",,,00:00:00,0.1523463791236281,5.911772569795427e-05
LCDD,with_noise_10,log_10_1687181929,200,200,10,"[205, 407, 616, 821, 1022, 1222, 1427, 1634, 1838, 2081, 2282, 2492]","[1446, 1821]",0.2857142857142857,18.0,00:00:00,0.1256101839244365,4.874279546931959e-05
LCDD,with_noise_20,log_10_1687181929,200,200,20,"[204, 422, 628, 851, 1052, 1252, 1457, 1662, 1878, 2083, 2286, 2489]","[1446, 1821]",0.2857142857142857,34.0,00:00:00,0.0696522323414683,2.7028417672281075e-05
LCDD,without_noise,log_10_1687181929,200,200,5,"[207, 408, 620, 839, 1064, 1265, 1479, 1679, 1886, 2102, 2327, 2542]","[1446, 1821]",0.2857142857142857,49.0,00:00:00,0.1242137653753161,4.820091787943971e-05
LCDD,with_noise_10,log_10_1687181929,200,200,50,"[205, 407, 616, 821, 1022, 1222, 1427, 1634, 1838, 2081, 2282, 2492]","[1446, 1821]",0.2857142857142857,18.0,00:00:00,0.0689200945198535,2.674431296851129e-05
LCDD,with_noise_20,log_10_1687181929,300,300,150,"[317, 618, 974, 1308, 1609, 1944, 2271]","[1446, 1821]",0.4444444444444445,130.5,00:00:00,0.133522717282176,5.181323914713854e-05
LCDD,without_noise,log_10_1687181929,300,300,20,"[316, 620, 920, 1259, 1579, 1904, 2246, 2564]","[1446, 1821]",0.4,108.0,00:00:00,0.297505852766335,0.00011544658625
LCDD,with_noise_10,log_10_1687181929,400,400,10,"[407, 822, 1230, 1634, 2109, 2511]","[1446, 1821]",0.25,187.0,00:00:00,0.1558712990954518,6.048556425900343e-05
LCDD,without_noise,log_10_1687181929,400,400,100,"[400, 801, 1201, 1619, 2109]","[1446, 1821]",0.2857142857142857,173.0,00:00:00,0.1251461207866668,4.856271664209036e-05
LCDD,with_noise_10,log_10_1687181929,400,400,150,"[407, 822, 1230, 1634, 2109, 2511]","[1446, 1821]",0.25,187.0,00:00:00,0.1337756719440221,5.1911397727598826e-05
LCDD,with_noise_20,log_10_1687181929,400,400,20,"[460, 882, 1362, 1781, 2223]","[1446, 1821]",0.5714285714285715,62.0,00:00:00,0.0694055203348398,2.693268154242911e-05
LCDD,with_noise_10,log_10_1687181929,400,400,200,"[407, 822, 1230, 1634, 2109, 2511]","[1446, 1821]",0.25,187.0,00:00:00,0.1367201777175068,5.305400765134144e-05
LCDD,with_noise_20,log_10_1687181929,400,400,50,"[460, 882, 1362, 1781, 2223]","[1446, 1821]",0.5714285714285715,62.0,00:00:00,0.1261527109891176,4.895332207571503e-05
LCDD,with_noise_20,log_10_1687181929,600,600,100,[],"[1446, 1821]",,,00:00:00,0.2109108045697212,8.184354077210758e-05
